,date,shortwave_radiation,direct_radiation,diffuse_radiation,direct_normal_irradiance,global_tilted_irradiance,terrestrial_radiation,cloud_cover,relative_humidity_2m,temperature_2m,wind_speed_10m,surface_pressure
0,12/31/2023 0:00,0,0,0,0.0,0,0.0,100,96,0.6,14.8,976.7
1,12/31/2023 1:00,0,0,0,0.0,0,0.0,100,97,0.2,14.3,976.8
2,12/31/2023 2:00,0,0,0,0.0,0,0.0,100,96,0.3,14.3,976.7
3,12/31/2023 3:00,0,0,0,0.0,0,0.0,100,97,0.2,13.8,976.5
4,12/31/2023 4:00,0,0,0,0.0,0,0.0,100,98,0.1,14.1,976.3
5,12/31/2023 5:00,0,0,0,0.0,0,0.0,100,99,0.0,15.3,976.3
6,12/31/2023 6:00,11,0,11,0.0,11,83.1,100,95,-0.2,17.4,976.1
7,12/31/2023 7:00,38,0,38,0.0,38,205.5,100,96,-0.1,14.9,975.4
8,12/31/2023 8:00,41,0,41,0.0,41,283.4,100,97,-0.1,21.3,974.1
9,12/31/2023 9:00,38,0,38,0.0,38,311.4,100,97,-0.1,21.7,972.8
10,12/31/2023 10:00,34,0,34,0.0,34,287.5,100,97,-0.2,20.3,971.2
11,12/31/2023 11:00,22,0,22,0.0,22,213.5,100,97,-0.3,21.7,969.7
12,12/31/2023 12:00,7,0,7,0.0,7,94.3,100,95,0.4,25.7,968.5
13,12/31/2023 13:00,0,0,0,0.0,0,0.7,100,96,0.4,26.1,967.6
14,12/31/2023 14:00,0,0,0,0.0,0,0.0,100,95,0.4,26.7,966.7
15,12/31/2023 15:00,0,0,0,0.0,0,0.0,100,97,0.3,24.5,966.1
16,12/31/2023 16:00,0,0,0,0.0,0,0.0,100,95,0.5,26.9,965.4
17,12/31/2023 17:00,0,0,0,0.0,0,0.0,100,93,0.5,28.6,964.9
18,12/31/2023 18:00,0,0,0,0.0,0,0.0,100,94,0.4,28.7,964.9
19,12/31/2023 19:00,0,0,0,0.0,0,0.0,100,93,0.3,27.8,965.1
20,12/31/2023 20:00,0,0,0,0.0,0,0.0,100,93,0.2,25.8,965.3
21,12/31/2023 21:00,0,0,0,0.0,0,0.0,100,94,0.2,24.1,965.5
22,12/31/2023 22:00,0,0,0,0.0,0,0.0,100,93,0.2,26.3,965.6
23,12/31/2023 23:00,0,0,0,0.0,0,0.0,100,90,-0.2,29.3,966.1
24,1/1/2024 0:00,0,0,0,0.0,0,0.0,100,90,-1.4,26.6,966.9
25,1/1/2024 1:00,0,0,0,0.0,0,0.0,100,91,-1.4,24.9,966.6
26,1/1/2024 2:00,0,0,0,0.0,0,0.0,100,91,-2.3,22.5,967.3
27,1/1/2024 3:00,0,0,0,0.0,0,0.0,100,92,-3.2,19.1,968.0
28,1/1/2024 4:00,0,0,0,0.0,0,0.0,100,91,-4.2,18.9,968.6
29,1/1/2024 5:00,0,0,0,0.0,0,0.0,100,93,-5.3,17.2,969.3
30,1/1/2024 6:00,22,1,21,11.1,22,83.6,100,91,-6.3,17.7,969.8
31,1/1/2024 7:00,37,0,37,0.0,37,206.5,100,90,-6.6,13.7,970.0
32,1/1/2024 8:00,56,0,56,0.0,56,284.8,100,88,-6.8,11.9,970.1
33,1/1/2024 9:00,123,5,118,22.6,123,313.2,100,85,-7.2,12.7,970.2
34,1/1/2024 10:00,93,4,89,19.5,93,289.8,100,83,-7.8,15.0,970.7
35,1/1/2024 11:00,53,1,52,6.5,53,216.1,100,82,-9.2,18.4,971.5
36,1/1/2024 12:00,28,1,27,10.6,28,97.2,100,82,-10.9,19.0,972.8
37,1/1/2024 13:00,0,0,0,0.0,0,2.2,100,82,-10.9,17.7,973.3
38,1/1/2024 14:00,0,0,0,0.0,0,0.0,100,81,-11.6,19.2,974.6
39,1/1/2024 15:00,0,0,0,0.0,0,0.0,100,79,-13.2,19.5,975.8
40,1/1/2024 16:00,0,0,0,0.0,0,0.0,100,78,-15.3,20.3,977.4
41,1/1/2024 17:00,0,0,0,0.0,0,0.0,100,78,-17.2,19.1,978.8
42,1/1/2024 18:00,0,0,0,0.0,0,0.0,100,79,-18.9,17.9,980.0
43,1/1/2024 19:00,0,0,0,0.0,0,0.0,100,78,-20.3,16.5,980.9
44,1/1/2024 20:00,0,0,0,0.0,0,0.0,100,76,-21.7,14.4,982.0
45,1/1/2024 21:00,0,0,0,0.0,0,0.0,96,76,-22.9,12.2,982.8
46,1/1/2024 22:00,0,0,0,0.0,0,0.0,71,76,-23.9,10.1,983.8
47,1/1/2024 23:00,0,0,0,0.0,0,0.0,21,76,-24.8,9.1,984.4
48,1/2/2024 0:00,0,0,0,0.0,0,0.0,21,77,-25.5,8.7,985.9
49,1/2/2024 1:00,0,0,0,0.0,0,0.0,19,77,-26.0,6.4,985.8
50,1/2/2024 2:00,0,0,0,0.0,0,0.0,5,77,-26.9,6.6,986.4
51,1/2/2024 3:00,0,0,0,0.0,0,0.0,34,79,-28.5,8.4,985.9
52,1/2/2024 4:00,0,0,0,0.0,0,0.0,100,81,-26.6,6.5,986.7
53,1/2/2024 5:00,0,0,0,0.0,0,0.0,100,79,-26.5,3.0,987.2
